DÍA 4 — PECHO Y TRÍCEPS,,,,,,
"Enfoque: pectoral mayor, deltoides anterior, tríceps · TODOS los press en agarre paralelo",,,,,,
ACTIVACIÓN (5 min),,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Movilidad de muñeca y hombro,1,2 min,—,Sin equipo,Muñecas (1 min). Hombros: 30s círculos amplios + 30s aperturas en T con dedos pegados a la pared (para movilizar pectoral).,Sin carga. Movimiento amplio y lento. Pectoral en estiramiento suave.
Banda pull-apart (apertura horizontal),2,15,30 s,Banda elástica larga,"De pie, banda sostenida con ambas manos al frente a la altura del pecho, brazos extendidos. Abrir los brazos lateralmente hasta posición de cruz, apretando escápulas, volver controlado.","Activa romboides y deltoides posterior, equilibra el trabajo de empuje del día. Sostener la banda con palma abierta — no cerrar puño con fuerza."
Push-up isométrico en banco (manos en empuñaduras o antebrazos),2,20 segundos,30 s,Banco inclinado + push-up handles (opcional),Apoyo de manos en push-up handles para muñeca neutra (o en antebrazos sobre banco si no hay handles). Cuerpo en línea recta. Mantener posición isométrica 20s en flexión parcial (codos a 90°).,NUNCA con palma plana al suelo. Solo con handles (agarre neutro) o sobre antebrazos. Pre-activa pectoral y serrato sin estresar muñeca.
BLOQUE PRINCIPAL,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Press inclinado en máquina hammer (agarre paralelo),4,12,60 s,Máquina hammer press inclinado con doble agarre,"Sentada, espalda contra respaldo, banco a 30-45°. USAR SIEMPRE las empuñaduras PARALELAS (palmas enfrentadas), no las pronadas. Empujar al frente sin bloquear codo, bajar controlado hasta sentir estiramiento en pectoral.",AGARRE PARALELO obligatorio. Activación del pectoral equivalente al press con barra (Saeterbakken 2017) sin desviación de muñeca. Si la máquina no tiene agarre paralelo: usar press inclinado con mancuernas grip neutro.
Press plano en máquina hammer (agarre paralelo),4,12,60 s,Máquina hammer press plano con doble agarre,Igual técnica que el inclinado pero con banco plano. Codos a 45° respecto al torso (no abiertos a 90°) para proteger hombro.,AGARRE PARALELO. Esto reemplaza el press banca con barra del original.
Press declinado en máquina hammer (agarre paralelo),4,12,60 s,Máquina hammer press declinado,"Banco declinado o máquina específica. Misma técnica con empuñaduras paralelas. Empujar al frente y un poco hacia abajo, enfocando fibras inferiores del pectoral.",AGARRE PARALELO. Si no hay máquina declinada: hacer crossover en polea de arriba hacia abajo.
Pec deck (contractor de pecho),3,10,60 s,Máquina pec deck / mariposa,"Sentada, espalda contra respaldo, antebrazos contra almohadillas (NO mano agarrando) o manos en empuñaduras paralelas. Juntar codos al frente apretando pectoral, pausa 1s, volver controlada con estiramiento completo.","SUSTITUYE aperturas con mancuerna del original. Con apoyo de antebrazo se elimina por completo la demanda de la mano. Si solo hay agarre de manos: pulgar relajado, no cerrar puño con fuerza."
Extensión de tríceps en máquina,3,12,60 s,Máquina de extensión de tríceps,"Sentada, codos apoyados en almohadilla, manos en empuñaduras. Extender codos completamente, pausa 1s, volver controlada con estiramiento del tríceps.",SUSTITUYE la extensión con cuerda del original (que exige cierre de mano). Si no hay máquina: extensión en polea con barra recta + STRAPS.
Press cerrado en máquina (sustituye fondos),3,12,60 s,Máquina hammer press plano agarre cerrado,Misma máquina del press plano pero con empuñaduras al ancho mínimo. Codos pegados al torso. Empujar enfocando tríceps.,SUSTITUYE FONDOS ASISTIDOS — los fondos cargan el peso corporal sobre muñeca extendida a 90° (gesto exacto que provoca el dolor). El press cerrado activa el tríceps con activación EMG equivalente sin estresar la muñeca.
CARDIO / FINISHER,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Circuito: assault bike + jumping jacks,3 rondas,1 min bike / 30 jumping jacks,60 s entre rondas,Assault bike (o bici estática) + espacio libre,Ronda: 1 minuto en assault bike a esfuerzo alto + 30 jumping jacks + 60s descanso. Repetir 3 veces.,"SUSTITUYE los saltos de cuerda del original (agarre repetitivo del pulgar). La assault bike usa manillares verticales con agarre neutro y poca presión. Jumping jacks no requieren agarre. Si no hay assault bike: 1 min en bici estática a máximo esfuerzo, manos sueltas o apoyadas suave."