DÍA 5 — HOMBRO Y CORE,,,,,,
"Enfoque: deltoides (los 3 fascículos), trapecio, core · Plancha SIEMPRE en antebrazos",,,,,,
ACTIVACIÓN (5 min),,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Movilidad de muñeca y hombro,1,2 min,—,Sin equipo,"Muñecas (1 min). Hombros: 30s círculos amplios + 30s rotaciones externas con codo pegado al cuerpo + 30s wall slides (espalda contra pared, brazos en W subiendo a Y).",Indoloro siempre. Los wall slides preparan la elevación lateral.
Rotación externa con banda,2,15 x lado,30 s,Banda elástica ligera,"Codo pegado al costado, antebrazo a 90°. Tirar de la banda hacia afuera rotando el hombro sin mover el codo. Banda anclada a un punto fijo al lado.",Activación del manguito rotador. Carga muy ligera. Pulgar relajado en el agarre (no cerrar con fuerza).
Banda pull-apart en Y,2,15,30 s,Banda elástica larga,"Banda sostenida con ambas manos al frente. Subir los brazos en forma de Y por encima de la cabeza separándolos a la vez, apretando trapecio inferior. Volver controlada.",Pre-activa deltoides posterior y trapecio. Pulgar relajado.
BLOQUE PRINCIPAL — HOMBRO,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Press de hombro en máquina (agarre paralelo),4,12,60 s,Máquina hammer shoulder press con agarre paralelo,"Sentada, espalda contra respaldo. Empuñaduras paralelas (palmas enfrentadas). Empujar verticalmente sin bloquear codo arriba, bajar controlada hasta empuñadura a la altura de los hombros.",SUSTITUYE press con mancuernas del original. La máquina elimina la estabilización con muñeca cargada en altura. Si solo hay mancuernas: usar grip neutro y carga muy conservadora.
Elevación lateral en polea con strap proximal,4,15,60 s,Polea baja + wrist cuff/strap proximal al brazo,"STRAP COLOCADO EN BRAZO (justo arriba de la muñeca, en el antebrazo proximal), NO en la mano. Cable a polea baja por el lado contrario al brazo que trabaja. Elevar el brazo lateralmente hasta horizontal (no más arriba), bajar controlado 2-3 s.","SUSTITUYE elevaciones con mancuerna. La carga llega al deltoides directamente vía antebrazo proximal — la mano queda completamente libre, sin sostener nada. Carga ligera (3-5 kg). EMG del deltoides medio equivalente o superior."
Face pull con straps dobles,4,15,60 s,Polea alta + dos lifting straps individuales,Polea alta a altura de la cara. Un strap por mano enrollado al cable (sin cuerda). Tirar de los straps hacia las orejas separando los brazos. Codos altos en línea con hombros. Pausa 1s apretando deltoides posterior.,SUSTITUYE face pull con cuerda. Los straps eliminan el cierre activo de mano. Si no se logra con straps: usar máquina de reverse pec deck.
Elevación frontal en polea con strap proximal,4,12,60 s,Polea baja + wrist cuff/strap proximal,"Strap en antebrazo proximal (NO mano). Polea baja por detrás o lateral. Elevar brazo extendido al frente hasta la altura del hombro, controlar la bajada 2-3 s.",SUSTITUYE elevación frontal con disco (que carga el pulgar en pinch grip). Carga directa al deltoides anterior sin tocar la mano.
BLOQUE CORE,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Elevación de piernas en silla romana,4,20,60 s,Silla romana / capitanes (apoyo de antebrazos),"APOYO DE ANTEBRAZOS en almohadillas, no de manos. Las manos solo agarran las empuñaduras superiores SIN cerrar con fuerza (es solo guía). Elevar piernas extendidas hasta horizontal o un poco más alto, controlar la bajada.",SUSTITUYE elevación colgada en barra (que suspende el peso corporal de las muñecas). La silla romana transfiere el peso a los antebrazos. Si no hay capitanes: hacer crunch inverso en banco plano.
Bicicleta para abdomen,4,20,60 s,Esterilla,"Decúbito supino, manos detrás de la cabeza (codos abiertos), piernas flexionadas. Llevar codo derecho hacia rodilla izquierda mientras la pierna derecha se extiende. Alternar rítmicamente.",Sin demanda de mano. Mantener zona lumbar pegada al suelo. Si las manos detrás de la cabeza generan tensión cervical: cruzar brazos sobre el pecho.
Plancha en antebrazos,4,1 min,60 s,Esterilla,"APOYO EN ANTEBRAZOS, no manos. Codos directamente bajo hombros. Cuerpo en línea recta desde tobillos hasta cabeza. Mantener glúteo y abdomen apretados todo el tiempo.","NUNCA EN MANOS — la plancha en manos carga peso corporal sobre muñeca extendida a 90°, exactamente el patrón doloroso. La activación del transverso del abdomen es equivalente o superior en antebrazos (Schoenfeld 2014)."
CARDIO,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Caminadora 20 min inclinación 10%,1,20 min,—,Caminadora,"Caminar a paso vivo (4.5-6 km/h según tolerancia) con inclinación al 10%. Mantener tronco erguido, no inclinarse hacia delante agarrando barandilla.","Manos sueltas o solo apoyadas suaves en barandilla. Cero agarre con fuerza. Si requiere agarrarse para sostenerse, bajar inclinación."