DÍA 3 — CUÁDRICEPS Y GLÚTEO,,,,,,
"Enfoque: cuádriceps, glúteo mayor, aductores · Sin agarre prolongado de mancuernas",,,,,,
ACTIVACIÓN (5-7 min),,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Movilidad de muñeca y tobillo,1,2 min,—,Sin equipo,Muñecas: igual a Día 1 (1 min). Tobillos: 30s de círculos cada lado + 30s de dorsiflexión asistida contra pared (rodilla hacia pared con talón apoyado).,Indoloro siempre. La movilidad de tobillo influye en la profundidad y seguridad de la sentadilla.
Sentadilla en aire (air squat),2,15,30 s,Sin equipo,"Pies a anchura de hombros, ligeramente abiertos. Bajar empujando cadera atrás como sentándose, hasta muslos paralelos al suelo. Subir empujando con talones, apretando glúteo arriba.",Calentamiento del patrón motor. Brazos al frente como contrapeso. Sin demanda de muñeca.
Monster walk con banda,2,12 pasos x dirección,30 s,Mini banda elástica,"Banda alrededor de tobillos o encima de rodillas. Semisentadilla parcial constante. Caminar 12 pasos hacia adelante, 12 atrás, 12 lateral hacia cada lado, manteniendo tensión en la banda.",Activa glúteo medio y estabilizadores. Sin demanda de mano. Mantener rodillas alineadas con punta de pie.
BLOQUE PRINCIPAL,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Sentadilla en multipower (Smith),4,10,2 min,Multipower / máquina Smith,Barra apoyada en trapecio (no en cuello). Pies ligeramente por delante del cuerpo. Bajar controlada llevando cadera atrás hasta muslos paralelos al suelo. Subir empujando con talones.,"Manos solo estabilizan la barra con AGARRE AMPLIO. No cerrar puño con fuerza — la muñeca debe quedar alineada, no flexionada hacia atrás. Si molesta: bajar carga o usar variante hack squat machine."
Zancadas en multipower (estáticas),4,12 x lado,90 s,Multipower,"Barra en trapecio. Una pierna adelante, otra atrás (pierna trasera puede apoyarse en banco si se prefiere split squat). Bajar la rodilla trasera hacia el suelo sin tocarlo (90° en ambas rodillas). Subir empujando talón delantero.",SUSTITUYE las zancadas caminando con mancuernas del original (que requieren agarre prolongado del pulgar). La barra fija en multipower elimina el problema sin perder estímulo unilateral.
Extensión de cuádriceps en máquina,4,15,60 s,Máquina de extensión de rodilla,"Sentada, rodillas alineadas con el eje de la máquina, rodillo a la altura del tendón de Aquiles. Extender rodillas hasta casi bloquear (90% del rango), pausa 1s apretando cuádriceps, bajar controlada 2-3 s.",Empuñaduras solo de estabilización lateral. Cero demanda de muñeca. Carga progresiva.
Hip thrust con pausa arriba (máquina),4,12,2 min,Máquina de hip thrust,"Igual técnica que Día 1, pero con PAUSA DE 2 SEGUNDOS en posición alta apretando glúteo al máximo antes de bajar.",Priorizar máquina. La pausa aumenta el tiempo bajo tensión sin necesidad de más carga. Pies un poco más separados que en Día 1 para enfocar glúteo mayor.
Step ups con chaleco lastrado,4,12 x lado,60 s,Banco/cajón estable + chaleco lastrado 8-12 kg,"Subir al banco apoyando el pie completo (no la punta), extender cadera y rodilla arriba apretando glúteo. Bajar controlada con la otra pierna sin saltar.",SUSTITUYE step ups con mancuernas del original. El chaleco lleva la carga al tronco — cero demanda de pulgar/muñeca. Si no hay chaleco: hacer step ups solo con peso corporal a 15 reps por lado.
Aducción de cadera en máquina,4,20,60 s,Máquina de aductores,"Sentada, piernas afuera de las almohadillas. Cerrar piernas contra resistencia apretando aductores. Pausa 1s, volver controlada sin que la máquina toque tope.",Sin demanda de muñeca. Pecho hacia delante para activar mejor.
CARDIO,,,,,,
Ejercicio,Series,Reps,Descanso,Equipo necesario,Descripción del movimiento,Notas de seguridad para el paciente
Elíptica HIIT 15 min,1,40s rápido / 80s lento,—,Elíptica,Calentamiento 2 min ritmo cómodo. Luego intervalos: 40 segundos a esfuerzo alto (80-85%) y 80 segundos a ritmo lento de recuperación. Repetir 7-8 rondas.,"Manos apoyadas en manillares centrales sin agarre con fuerza, o sueltas. La elíptica reparte carga entre pies y manos sin extensión forzada de muñeca."